Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,X0_reg_prob,X1_reg_prob,pred_ID_frw_prob,X0_frw_prob,X1_frw_prob,true,ID,train_count_0,train_count_1,test_count_0,test_count_1,train_row_count,md,complexity,tree_count
0,0,1,1,0,1,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,2,1,0,2,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,3,1,0,3,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,4,1,0,4,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,5,1,0,5,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,6,1,0,6,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,7,1,0,7,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,8,1,0,8,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,9,1,0,9,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,10,1,0,10,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,11,1,0,11,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,12,1,0,12,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,13,1,0,13,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,14,1,0,14,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,15,1,0,15,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,16,1,0,16,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,17,1,0,17,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,18,1,0,18,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,19,1,0,19,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,20,1,0,20,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,21,1,0,21,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,22,1,0,22,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,23,1,0,23,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,24,1,0,24,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,25,1,0,25,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,26,1,0,26,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,27,1,0,27,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,28,1,0,28,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,29,1,0,29,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,30,1,0,30,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,31,1,0,31,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
0,0,32,1,0,32,1,0,0,2019-10-01 22:13:04,2994,6,100,100,3000,2,0.01,100
