reg_setosa,reg_versicolor,reg_virginica,frw_setosa,frw_versicolor,frw_virginica,true,ID
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
1,0,0,1,0,0,setosa,2019-09-25 17:32:37
0,0.942740811131181,0.0572591888688193,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.265602093305195,0.734397906694805,0,0.263854742681878,0.736145257318122,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.696455484962937,0.303544515037063,0,0.691864748178735,0.308135251821265,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.0958530152998507,0.904146984700149,0,0.0156839098120139,0.984316090187986,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.904359120881069,0.0956408791189306,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
0,0.95237044076081,0.0476295592391897,0,0.943644697623671,0.056355302376329,versicolor,2019-09-25 17:32:37
